CI87702,EU,D41
FZ98234,US,E10
HL94468,PE,B39
NL61668,PE,A37
TL56384,PE,E36
IG92877,PE,D39
BB53001,PE,E23
SB26669,PE,D37
NL61668,PE,C21
DX44682,PE,B50
YR12572,PE,C08
BP15881,PE,C25
DX44682,PE,E39
RW87354,PE,C15
CE69353,PE,B04
FZ98234,PE,C38
CI87702,PE,E12
YR12572,PE,B31
JR86507,PE,C50
YW28008,PE,A23
YW80393,PE,C09
RW87354,PE,E41
OT32425,PE,D17
FT98440,PE,D20
FQ88002,PE,A09
OT32425,PE,D01
BF72860,PE,E22
YF17264,PE,B05
JR86507,PE,E33
IT60920,PE,B41
SB26669,PE,C46
BP15881,PE,D07
UK47509,PE,B20
RW87354,PE,D50
UK47509,PE,E42
JR86507,PE,C36
TL56384,PE,B30
HL94468,PE,C11
YW28008,PE,B13
RW87354,US,D09
SB26669,US,A41
WL09498,PE,A29
DX44682,US,A45
YR12572,US,C48
CI87702,US,E15
UE09721,PE,C44
JR86507,PE,E34
TL56384,PE,D42
OT32425,US,B21
YW28008,US,E49
BP15881,US,A07
CE69353,PE,A11
FT98440,US,B46
KS19431,US,C13
HL94468,US,B08
UE09721,US,A08
BB53001,US,D30
CI87702,US,E21
KS19431,US,A17
FT98440,PE,E47
MB82598,PE,E19
BF72860,PE,D36
OT32425,US,E45
RW87354,PE,A32
CI87702,US,A16
SW29687,US,E17
UK47509,US,E16
YW80393,PE,E27
IT60920,US,A30
UK47509,US,B40
IG92877,US,C19
SW29687,US,D19
YW28008,US,B03
SW29687,US,C42
YW80393,US,C41
YW28008,US,C17
FZ98234,US,D38
IO29421,US,A01
YW28008,US,A42
IT60920,US,B33
DX44682,US,E29
YR12572,EU,B22
IG92877,US,A26
WS24612,US,D10
DX44682,US,B07
UK47509,US,D11
MB82598,US,D29
JR86507,US,C43
NL61668,US,D31
FT98440,US,A39
TL56384,US,A31
HL94468,US,D15
FQ88002,US,B49
BF72860,US,D40
IT60920,US,A35
IT60920,US,D49
TL56384,US,E28
WL09498,US,C03
IT60920,US,C35
BF72860,US,D03
BB53001,US,D34
YW28008,US,C49
BB53001,US,B23
IO29421,US,C47
DX44682,US,D05
UK47509,US,D16
HL94468,US,D47
MB82598,US,D21
TL56384,EU,D48
YR12572,US,B18
WS24612,US,A21
CE69353,EU,A02
NL61668,US,A28
MB82598,US,D25
YR12572,US,B17
UK47509,US,E20
YR12572,US,B09
BP15881,US,C45
SW29687,US,A15
MB82598,EU,A46
KS19431,US,D43
SB26669,US,A49
YW80393,US,A19
IG92877,US,D23
YF17264,US,C39
SW29687,US,B42
JR86507,US,E31
FZ98234,US,C16
IO29421,EU,B37
JR86507,EU,B48
SW29687,EU,C07
RW87354,EU,A03
UE09721,EU,C27
FQ88002,EU,E50
CE69353,EU,E18
JR86507,EU,A43
BF72860,EU,B38
